,precision,recall,f1-score,support
benign,0.9970319756342293,0.988700403289717,0.9928487109995005,454264.0
botnet,0.060936238902340595,0.38618925831202044,0.10526315789473684,391.0
brute_force,0.9953000723065799,0.9949403686302855,0.9951201879631303,2767.0
ddos,0.999334637964775,0.9971880492091388,0.998260189619783,25605.0
dos,0.9920703257974729,0.9841090121764694,0.9880736323567539,50343.0
probe,0.9934509447560556,0.9982053461792765,0.9958224707101799,31761.0
web_attack,0.041666666666666664,0.23665893271461716,0.07085793678360541,431.0
accuracy,0.9882506250419937,0.9882506250419937,0.9882506250419937,0.9882506250419937
macro avg,0.72568440886116,0.7979987672159322,0.7351780409039558,565562.0
weighted avg,0.9951097640142573,0.9882506250419937,0.9915305176094544,565562.0
