,precision,recall,f1-score,support
benign,0.9839921405455386,0.9745478400225419,0.9792472195432708,454264.0
botnet,0.25,0.0025575447570332483,0.005063291139240506,391.0
brute_force,0.9210300429184549,0.7755692085290928,0.8420639591916814,2767.0
ddos,0.985610655250327,0.9710603397773873,0.9782813975448537,25605.0
dos,0.9755171965129895,0.8935701090519039,0.9327472345190084,50343.0
probe,0.7463664522277818,0.9862724725292025,0.8497104338744897,31761.0
web_attack,0.38461538461538464,0.01160092807424594,0.02252252252252252,431.0
accuracy,0.9654609043747635,0.9654609043747635,0.9654609043747635,0.9654609043747635
macro avg,0.7495902674386395,0.6593112061059153,0.6585194369050097,565562.0
weighted avg,0.9686941184755126,0.9654609043747635,0.9657160119837338,565562.0
