,precision,recall,f1-score,support
BENIGN,0.9983828117669138,0.9993381234994042,0.9988602392177457,681396.0
Bot,0.9795918367346939,0.3270868824531516,0.4904214559386973,587.0
Brute Force,0.6926910299003323,0.922566371681416,0.7912713472485768,452.0
DDoS,0.9998695742904842,0.9979952093313893,0.9989315125612426,38408.0
DoS GoldenEye,0.9982847341337907,0.9423575129533679,0.9695152423788106,3088.0
DoS Hulk,0.9978282901404373,0.9983052566015325,0.9980667163865699,69037.0
DoS Slowhttptest,0.9924554183813443,0.876969696969697,0.9311454311454311,1650.0
DoS slowloris,0.9915764139590855,0.9476710753306498,0.9691267274331079,1739.0
FTP-Patator,1.0,0.9991596638655462,0.9995796553173603,2380.0
PortScan,0.9939047300964389,0.9994332612665561,0.9966613289794551,47641.0
SSH-Patator,1.0,0.996608253250424,0.9983012457531144,1769.0
XSS,1.0,0.04591836734693878,0.08780487804878048,196.0
accuracy,0.997914758535168,0.997914758535168,0.997914758535168,0.997914758535168
macro avg,0.9703820699502934,0.8377841395458394,0.8524738150340743,848343.0
weighted avg,0.9979600878016489,0.997914758535168,0.9977038863543418,848343.0
