,precision,recall,f1-score,support
benign,0.9986995898537203,0.9991568779388197,0.9989281815620819,454264.0
botnet,0.958041958041958,0.35038363171355497,0.5131086142322098,391.0
brute_force,1.0,0.9938561619082038,0.9969186151894145,2767.0
ddos,0.999921798631476,0.9987502440929505,0.9993356779992184,25605.0
dos,0.996160655672482,0.9946963828138967,0.9954279807577625,50343.0
probe,0.9938004884463648,0.9993388117502597,0.9965619554467103,31761.0
web_attack,0.9879518072289156,0.951276102088167,0.9692671394799054,431.0
accuracy,0.9982406880235942,0.9982406880235942,0.9982406880235942,0.9982406880235942
macro avg,0.9906537568392738,0.8982083160436932,0.9242211663810432,565562.0
weighted avg,0.9982238604712552,0.9982406880235942,0.9981338739519775,565562.0
