,precision,recall,f1-score,support
benign,0.9988446760471636,0.999183294295828,0.9990139564776236,454264.0
botnet,0.9278688524590164,0.7237851662404092,0.8132183908045977,391.0
brute_force,1.0,0.9989157932779184,0.9994576026035075,2767.0
ddos,0.9996092986911506,0.9992189025580941,0.9994140625,25605.0
dos,0.9975204808283578,0.9989074945871322,0.9982135058954306,50343.0
probe,0.9937083294206028,0.999527722678757,0.9966095309851196,31761.0
web_attack,0.725,0.20185614849187936,0.3157894736842105,431.0
accuracy,0.9983803720900626,0.9983803720900626,0.9983803720900626,0.9983803720900626
macro avg,0.948935948206613,0.8459135031614312,0.8745309318500699,565562.0
weighted avg,0.9982208662379314,0.9983803720900626,0.9981788445421406,565562.0
